id,mottagna,vrv_ensmbrn
0114,50,17
0115,4,
0117,40,5
0120,18,2
0123,137,21
0125,10,2
0126,147,5
0127,182,2
0128,27,1
0136,68,15
0138,36,9
0139,34,7
0140,10,1
0160,49,4
0162,23,3
0163,99,4
0180,911,102
0181,362,11
0182,54,2
0183,107,4
0184,33,2
0186,32,3
0187,2,2
0188,76,11
0191,82,8
0192,32,5
0305,18,3
0319,51,4
0330,16,4
0331,40,2
0360,22,1
0380,353,31
0381,55,7
0382,22,2
0428,60,7
0461,19,2
0480,80,9
0481,119,2
0482,125,6
0483,121,6
0484,475,16
0486,31,5
0488,10,
0509,19,5
0512,20,4
0513,25,2
0560,23,
0561,34,6
0562,74,2
0563,55,3
0580,160,20
0581,366,20
0582,18,7
0583,170,9
0584,12,4
0586,37,7
0604,47,3
0617,58,
0642,9,4
0643,6,
0662,189,6
0665,11,5
0680,292,13
0682,275,8
0683,74,2
0684,131,3
0685,147,4
0686,30,4
0687,51,9
0760,75,13
0761,125,11
0763,104,5
0764,104,11
0765,61,2
0767,32,9
0780,259,16
0781,86,8
0821,105,9
0834,27,4
0840,36,1
0860,190,17
0861,68,8
0862,36,2
0880,134,14
0881,179,15
0882,94,7
0883,150,14
0884,55,3
0885,33,3
0980,52,6
1060,110,8
1080,220,7
1081,274,11
1082,131,6
1083,43,1
1214,41,10
1230,6,1
1231,33,3
1233,7,2
1256,141,5
1257,55,13
1260,38,5
1261,10,3
1262,8,3
1263,16,2
1264,20,2
1265,13,3
1266,26,5
1267,5,3
1270,22,3
1272,54,10
1273,127,9
1275,46,5
1276,9,1
1277,79,2
1278,22,1
1280,712,52
1281,74,8
1282,140,10
1283,376,18
1284,9,4
1285,62,18
1286,29,7
1287,52,9
1290,305,22
1291,101,6
1292,32,7
1293,202,12
1315,189,2
1380,293,11
1381,149,1
1382,115,10
1383,36,7
1384,24,3
1401,14,2
1402,33,4
1407,1,
1415,16,2
1419,12,6
1421,7,1
1427,12,3
1430,40,1
1435,39,6
1438,8,1
1439,27,5
1440,23,1
1441,19,7
1442,22,2
1443,4,1
1444,7,
1445,10,1
1446,21,5
1447,46,8
1452,48,1
1460,89,
1461,135,3
1462,11,1
1463,96,5
1465,13,1
1466,13,3
1470,34,1
1471,35,2
1472,58,
1473,57,2
1480,1079,86
1481,47,15
1482,24,5
1484,74,3
1485,123,8
1486,32,6
1487,193,5
1488,185,12
1489,74,2
1490,289,9
1491,68,7
1492,146,4
1493,38,5
1494,36,3
1495,110,4
1496,117,8
1497,11,3
1498,63,10
1499,150,5
1715,2,1
1730,34,1
1737,60,
1760,31,4
1761,1,1
1762,34,
1763,27,3
1764,51,2
1765,31,4
1766,62,2
1780,121,7
1781,157,10
1782,104,2
1783,79,7
1784,46,4
1785,124,9
1814,20,
1860,35,10
1861,54,1
1862,42,3
1863,70,2
1864,47,4
1880,292,18
1881,28,4
1882,58,3
1883,148,8
1884,54,4
1885,186,11
1904,20,7
1907,46,3
1960,51,7
1961,47,4
1962,56,6
1980,265,21
1981,55,5
1982,118,2
1983,52,4
1984,96,5
2021,14,7
2023,16,4
2026,10,4
2029,38,2
2031,20,4
2034,17,7
2039,13,2
2061,10,1
2062,12,4
2080,89,6
2081,203,15
2082,8,3
2083,100,11
2084,331,9
2085,137,11
2101,82,2
2104,29,6
2121,110,6
2132,38,5
2161,90,5
2180,328,20
2181,261,17
2182,197,18
2183,206,17
2184,59,13
2260,9,5
2262,41,10
2280,207,7
2281,230,16
2282,107,11
2283,188,9
2284,134,13
2303,24,5
2305,58,8
2309,51,7
2313,60,3
2321,51,5
2326,24,3
2361,48,6
2380,176,14
2401,19,5
2403,6,3
2404,31,7
2409,25,3
2417,32,8
2418,23,8
2421,37,3
2422,13,6
2425,28,2
2460,13,1
2462,46,5
2463,7,5
2480,85,13
2481,43,1
2482,119,16
2505,21,
2506,11,2
2510,31,4
2513,4,2
2514,15,6
2518,10,8
2521,4,1
2523,22,2
2560,28,1
2580,42,2
2581,56,10
2582,101,7
2583,28,5
2584,37,8
