id,mottagna,vrv_ensmbrn,population
0114,50,17,42083
0115,4,,32242
0117,40,5,41538
0120,18,2,40837
0123,137,21,71625
0125,10,2,26838
0126,147,5,104772
0127,182,2,89268
0128,27,1,16211
0136,68,15,83042
0138,36,9,45822
0139,34,7,25456
0140,10,1,9965
0160,49,4,67674
0162,23,3,32343
0163,99,4,69711
0180,911,102,917297
0181,362,11,92808
0182,54,2,96874
0183,107,4,45194
0184,33,2,74790
0186,32,3,45853
0187,2,2,11413
0188,76,11,58177
0191,82,8,44387
0192,32,5,27308
0305,18,3,20153
0319,51,4,9284
0330,16,4,16481
0331,40,2,13529
0360,22,1,20356
0380,353,31,207944
0381,55,7,41472
0382,22,2,21512
0428,60,7,8905
0461,19,2,10650
0480,80,9,53852
0481,119,2,11672
0482,125,6,16298
0483,121,6,33432
0484,475,16,101619
0486,31,5,33967
0488,10,,11944
0509,19,5,5225
0512,20,4,3655
0513,25,2,9794
0560,23,,5321
0561,34,6,11468
0562,74,2,21194
0563,55,3,7721
0580,160,20,151882
0581,366,20,136124
0582,18,7,14299
0583,170,9,42709
0584,12,4,7395
0586,37,7,26589
604,47,3,6496
0617,58,,9543
0642,9,4,7142
0643,6,,11225
0662,189,6,29077
0665,11,5,13287
0680,292,13,132322
0682,275,8,30249
0683,74,2,33455
0684,131,3,11209
0685,147,4,26790
0686,30,4,16627
0687,51,9,18485
0760,75,13,9267
0761,125,11,8361
0763,104,5,12289
0764,104,11,19502
0765,61,2,16084
0767,32,9,9734
0780,259,16,87300
0781,86,8,27583
0821,105,9,5751
0834,27,4,6953
0840,36,1,14516
0860,190,17,13760
0861,68,8,13084
0862,36,2,9033
0880,134,14,65016
0881,179,15,19787
0882,94,7,26397
0883,150,14,36085
0884,55,3,15327
0885,33,3,10690
0980,52,6,57316
1060,110,8,13058
1080,220,7,64869
1081,274,11,28479
1082,131,6,31725
1083,43,1,17018
1214,41,10,13454
1230,6,1,23046
1231,33,3,17291
1233,7,2,34313
1256,141,5,13908
1257,55,13,9810
1260,38,5,14911
1261,10,3,29889
1262,8,3,23192
1263,16,2,20376
1264,20,2,15124
1265,13,3,18436
1266,26,5,14963
1267,5,3,15868
1270,22,3,13089
1272,54,10,12459
1273,127,9,12912
1275,46,5,7146
1276,9,1,16842
1277,79,2,15142
1278,22,1,14464
1280,712,52,320147
1281,74,8,115230
1282,140,10,43787
1283,376,18,136653
1284,9,4,25475
1285,62,18,32342
1286,29,7,28886
1287,52,9,43182
1290,305,22,82107
1291,101,6,19026
1292,32,7,40448
1293,202,12,50769
1315,189,2,10477
1380,293,11,96097
1381,149,1,23904
1382,115,10,42754
1383,36,7,60657
1384,24,3,78710
1401,14,2,36556
1402,33,4,36751
1407,1,,12644
1415,16,2,25387
1419,12,6,15238
1421,7,1,15066
1427,12,3,8978
1430,40,1,10220
1435,39,6,12443
1438,8,1,4776
1439,27,5,6515
1440,23,1,28553
